link,title,location,company_name,description,post_time
https://wuzzuf.net//internship/ExucaSTaI06d-Data-Science-Software-Engineer-Intern-Seuqel-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|hpb,Data Science Software Engineer Intern,"Cairo, Egypt ",Seuqel Solutions -,Internship Student · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Python · Software · Software Development · Software Engineering · Programming,26 days ago
https://wuzzuf.net//jobs/p/JH95wpLfTvip-Data-Scientist-Monty-Mobile-Cairo-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|hpb,Data Scientist,"Cairo, Egypt ",Monty Mobile -,Full Time Experienced · 1 - 10 Yrs of Exp · Engineering - Telecom/Technology · Data Science · Python · Information Technology (IT),2 days ago
https://wuzzuf.net//jobs/p/KMHaeUQK1n4e-Senior-Data-Modeler-KSA-Ejada-Riyadh-Saudi-Arabia?o=3&l=sp&t=sj&a=data science|search-v3|hpb,Senior Data Modeler (KSA),"Riyadh, Saudi Arabia ",Ejada  -,Full Time Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Computer Science · Data Modeling,2 days ago
https://wuzzuf.net//jobs/p/JSUGAuHUWrXp-Head-of-Data-team-Edentech-Giza-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|hpb,Head of Data team,"Dokki, Giza, Egypt ",Edentech -,Full Time Manager · 8+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · apache Nifi · MongoDB · Computer Science · Data Analysis · Data Modeling · Python · Management,11 days ago
https://wuzzuf.net//jobs/p/ajRhVm2LANmK-Senior-Data-Engineer-Giza-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|hpb,Senior Data Engineer,"Smart Village, Giza, Egypt ",Confidential -,Full Time Senior Management · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Engineer · Data · engineer · Information Technology (IT) · Engineering · Software Development,10 days ago
https://wuzzuf.net//jobs/p/LAxxHAwnonqW-Data-Analyst-ITCan-Cairo-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|hpb,Data Analyst,"New Cairo, Cairo, Egypt ",ITCan -,Full Time Experienced · 3 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI,11 days ago
https://wuzzuf.net//jobs/p/XjXLoDFAcP7h-Senior-Data-Management-Engineer-BBI-Consultancy-Cairo-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|hpb,Senior Data Management Engineer,"Nasr City, Cairo, Egypt ",BBI-Consultancy -,Full Time Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Informatica · ODI · SSIS · Data Integration · ETL · Data Management · Information Technology (IT) · Communication skills,12 days ago
https://wuzzuf.net//jobs/p/h5mSxYY2G97w-Senior-Presales-Engineer-BI-Data-Management-and-Cloud-BBI-Consultancy-Cairo-Egypt?o=8&l=sp&t=sj&a=data science|search-v3|hpb,"Senior Presales Engineer (BI, Data Management and Cloud)","Nasr City, Cairo, Egypt ",BBI-Consultancy -,Full Time Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · Cloud · Computer Science · Engineering · Information Technology (IT) · Pre-Sales · Sales · Software Development,16 days ago
https://wuzzuf.net//jobs/p/HgQExR50mmIp-Junior-Data-protection-system-engineer-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|hpb,Junior Data protection (system engineer),"New Cairo, Cairo, Egypt ",Confidential -,Full Time Entry Level · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DATA PROTECTION · Computer Science,12 days ago
https://wuzzuf.net//jobs/p/zYCTmrIJc20K-Data-Analyst-JoviTronix-Giza-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|hpb,Data Analyst,"Sheikh Zayed, Giza, Egypt ",JoviTronix  -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · analytical · business · Commerce · Computer Science · Data Analysis · Data,18 days ago
